'Show','Data','Local','Horario'
'A Banheira','até 27 de Setembro','Teatro Ruth Escobar - Sala Dina Sfat','Sextas. às 20h30; Sábados às 20h; Domingos. às 19h'
'Quem tem medo do Lobo Mau','até 19 de Outubro','Teatro Itália','Domingos. às 11h (agosto) e às 15h (setembro)'
'Rogério Koury - Piano Golden Songs','Dia 28 de Agosto (quinta)','Teatro Santa Cruz - Shopping Metrô Santa Cruz','Quinta. às 20h'
'PiraPop Park','N/A','PiraPop Park','Sábados e Domingos. das 13h às 19h'
'A Noviça Mais Rebelde','até 19 de Outubro','Teatro Santo Agostinho','Sábados. às 19h (em Agosto); Domingos. às 18h (Setembro e Outubro)'
'Agora É Que São Elas','até 31 de Agosto','Teatro das Artes','Sábados. às 18h e às 20h e Domingos. às 18h'
'O Vendedor de Sonhos','até 14 de Setembro','Teatro Gazeta','Sábados. às 20h e Domingos às 19h; Sexta (29/08). às 19h'
'Clô, Pra Sempre!','até 27 de Setembro','Teatro União Cultural','Sábados. às 18h'
'Emmanuel - A Luz de Chico Xavier','Dia 29 de Agosto (sexta)','Teatro Fernando Torres','Sexta. às 20h30'
'Freud e o Visitante','Estreia dia 29 de Agosto (sexta). até 14 de Setembro','Teatro Moise Safra','Sextas e Sábados às 20h; Domingo às 19h'
'Thiago Ventura - Pra Quê Que eu Vou Mentir?','Dia 28 de Agosto (quinta)','Teatro Fernando Torres','quinta. às 19h'
'Cris Pereira em De Borracha à Bombacha com Jorge da Borracharia e Gaudêncio','Dia 27 de Agosto (quarta)','Teatro Gazeta','Quarta. às 20h30.'
'Neurótica! com Flávia Reis','até 31 de Agosto','Teatro J. Safra','Sábados. às 21h; domingos. às 19h.'
'Circo Spacial: Spark','até 31 de Agosto','Circo Spacial - Zona Sul','Sábados. às 16h. 18h e 20h; Domingos e Feriados às 11h. 16h e 18h'
'O Pai','até 31 de Agosto','Teatro UOL','Sábados e domingos. às 18h.'
'Totia Meireles em O Lado Fatal - de Lya Luft','Estreia dia 11 de Setembro (quinta). até 4 de Outubro','Teatro BDO Jaraguá','Sextas e Sábados. às 20h; Domingos. às 19h.'
'Maio - Antes Que Você Me Esqueça','até 14 de Setembro','Teatro Estúdio','Sextas e sábados. às 20h30; domingos. às 18h.'
'Deu A Louca No Gerente','até 31 de Agosto','My F... Comedy Club','Domingos às 19h'
'Wagner Rodrigues - Desventuras de um quarentão','até 29 de Novembro','Teatro Ruth Escobar - Sala Miriam Muniz','Sábados. às 21h'
'Toma Essa Quinta','até 25 de Setembro','Acústico Comedy','Quintas. às 21h'
'A Banheira','até 27 de Setembro','Teatro Ruth Escobar - Sala Dina Sfat','Sextas. às 20h30; Sábados às 20h; Domingos. às 19h'
'Quem tem medo do Lobo Mau','até 19 de Outubro','Teatro Itália','Domingos. às 11h (agosto) e às 15h (setembro)'
'Rogério Koury - Piano Golden Songs','Dia 28 de Agosto (quinta)','Teatro Santa Cruz - Shopping Metrô Santa Cruz','Quinta. às 20h'
'PiraPop Park','N/A','PiraPop Park','Sábados e Domingos. das 13h às 19h'
'A Noviça Mais Rebelde','até 19 de Outubro','Teatro Santo Agostinho','Sábados. às 19h (em Agosto); Domingos. às 18h (Setembro e Outubro)'
'Agora É Que São Elas','até 31 de Agosto','Teatro das Artes','Sábados. às 18h e às 20h e Domingos. às 18h'
'O Vendedor de Sonhos','até 14 de Setembro','Teatro Gazeta','Sábados. às 20h e Domingos às 19h; Sexta (29/08). às 19h'
'Clô, Pra Sempre!','até 27 de Setembro','Teatro União Cultural','Sábados. às 18h'
'Emmanuel - A Luz de Chico Xavier','Dia 29 de Agosto (sexta)','Teatro Fernando Torres','Sexta. às 20h30'
'Freud e o Visitante','Estreia dia 29 de Agosto (sexta). até 14 de Setembro','Teatro Moise Safra','Sextas e Sábados às 20h; Domingo às 19h'
'Thiago Ventura - Pra Quê Que eu Vou Mentir?','Dia 28 de Agosto (quinta)','Teatro Fernando Torres','quinta. às 19h'
'Cris Pereira em De Borracha à Bombacha com Jorge da Borracharia e Gaudêncio','Dia 27 de Agosto (quarta)','Teatro Gazeta','Quarta. às 20h30.'
'Neurótica! com Flávia Reis','até 31 de Agosto','Teatro J. Safra','Sábados. às 21h; domingos. às 19h.'
'Circo Spacial: Spark','até 31 de Agosto','Circo Spacial - Zona Sul','Sábados. às 16h. 18h e 20h; Domingos e Feriados às 11h. 16h e 18h'
'O Pai','até 31 de Agosto','Teatro UOL','Sábados e domingos. às 18h.'
'Totia Meireles em O Lado Fatal - de Lya Luft','Estreia dia 11 de Setembro (quinta). até 4 de Outubro','Teatro BDO Jaraguá','Sextas e Sábados. às 20h; Domingos. às 19h.'
'Maio - Antes Que Você Me Esqueça','até 14 de Setembro','Teatro Estúdio','Sextas e sábados. às 20h30; domingos. às 18h.'
'Deu A Louca No Gerente','até 31 de Agosto','My F... Comedy Club','Domingos às 19h'
'Wagner Rodrigues - Desventuras de um quarentão','até 29 de Novembro','Teatro Ruth Escobar - Sala Miriam Muniz','Sábados. às 21h'
'Toma Essa Quinta','até 25 de Setembro','Acústico Comedy','Quintas. às 21h'
